Order Number,Order Date,Status,Delivery Type,Total Amount,Customer ID,Payment ID,Shipping Address,Shipping State,Shipping ZIP,Airport Name,Airport Code,Is Mango Delivery,Created At,Updated At
ORD-000001,2025-09-29,processing,pickup,24293.19,20,PAY-00000001,"House # 494, Phillips Divide",Gilgit-Baltistan,23266,Islamabad International Airport,ISB,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000002,2025-09-29,delivered,pickup,8936.88,12,PAY-00000002,"House # 882, Le Throughway",KPK,77749,Allama Iqbal International Airport,LHE,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000003,2025-09-29,delivered,pickup,7806.94,9,PAY-00000003,"House # 669, Miller Brooks",Punjab,21594,Islamabad International Airport,ISB,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000004,2025-09-29,shipped,pickup,11299.25,16,PAY-00000004,"House # 870, Armstrong Station",Balochistan,84208,Allama Iqbal International Airport,LHE,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000005,2025-09-29,processing,doorstep,8628.66,15,PAY-00000005,"House # 844, Cruz Flat",KPK,94341,Jinnah International Airport,KHI,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000006,2025-09-29,shipped,pickup,2646.12,9,PAY-00000006,"House # 560, Walker Orchard",Punjab,49794,Allama Iqbal International Airport,LHE,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000007,2025-09-29,shipped,doorstep,4458.20,1,PAY-00000007,"House # 524, Cory Junction",Gilgit-Baltistan,49366,Jinnah International Airport,KHI,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000008,2025-09-29,processing,doorstep,13696.55,17,PAY-00000008,"House # 369, Schmitt Square",Balochistan,52933,Islamabad International Airport,ISB,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000009,2025-09-29,delivered,pickup,8884.54,11,PAY-00000009,"House # 355, Erin Dale",KPK,96767,Jinnah International Airport,KHI,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000010,2025-09-29,shipped,doorstep,14404.81,10,PAY-00000010,"House # 62, Martinez Loop",Gilgit-Baltistan,93833,Islamabad International Airport,ISB,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000011,2025-09-29,delivered,pickup,9939.42,18,PAY-00000011,"House # 264, Rhonda Square",Sindh,68017,Allama Iqbal International Airport,LHE,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000012,2025-09-29,processing,doorstep,9275.95,18,PAY-00000012,"House # 178, Eric Walk",Gilgit-Baltistan,76521,Allama Iqbal International Airport,LHE,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000013,2025-09-29,delivered,pickup,15814.31,10,PAY-00000013,"House # 850, Connie Village",Sindh,98283,Jinnah International Airport,KHI,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000014,2025-09-29,delivered,pickup,21138.57,14,PAY-00000014,"House # 53, Sherry Circle",Balochistan,71373,Islamabad International Airport,ISB,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000015,2025-09-29,processing,doorstep,4490.42,9,PAY-00000015,"House # 626, Ramirez Common",KPK,88942,Jinnah International Airport,KHI,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000016,2025-09-29,processing,doorstep,26526.90,2,PAY-00000016,"House # 19, Jason Landing",KPK,28188,Islamabad International Airport,ISB,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000017,2025-09-29,delivered,doorstep,4405.32,13,PAY-00000017,"House # 418, West Manors",Balochistan,51092,Islamabad International Airport,ISB,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000018,2025-09-29,shipped,pickup,1532.50,15,PAY-00000018,"House # 993, Whitney Ville",Gilgit-Baltistan,93241,Islamabad International Airport,ISB,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000019,2025-09-29,processing,pickup,4290.82,13,PAY-00000019,"House # 409, Calhoun Haven",Gilgit-Baltistan,58162,Allama Iqbal International Airport,LHE,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000020,2025-09-29,shipped,doorstep,3203.50,3,PAY-00000020,"House # 283, Doris Viaduct",Balochistan,13787,Jinnah International Airport,KHI,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000021,2025-09-29,shipped,pickup,6516.23,19,PAY-00000021,"House # 52, Rice Centers",Punjab,62940,Islamabad International Airport,ISB,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
ORD-000022,2025-09-29,delivered,pickup,7989.11,7,PAY-00000022,"House # 757, Duran Walks",KPK,69620,Allama Iqbal International Airport,LHE,Yes,2025-09-29 17:52:51,2025-09-29 17:52:51
